step,mloss,gloss,loss
553.0,1.1147,0.9951,2.1098
554.0,1.1121,1.0055,2.1176000000000004
555.0,1.1068,0.9923,2.0991
556.0,1.0902,1.0003,2.0905
557.0,1.1174,1.0093,2.1267
558.0,1.1574,0.9929,2.1503
559.0,1.0867,0.9936,2.0803000000000003
560.0,1.0823,0.9897,2.072
561.0,1.1117,0.999,2.1107
562.0,1.0771,0.9894,2.0665
563.0,1.0995,1.0108,2.1102999999999996
564.0,1.0603,1.0206,2.0808999999999997
565.0,1.1876,1.004,2.1916
566.0,1.1222,1.0073,2.1295
567.0,1.1033,1.0026,2.1059
568.0,1.0873,1.0045,2.0918
569.0,1.1317,0.9993,2.131
570.0,1.1002,0.9991,2.0993
571.0,1.0843,1.0096,2.0939
572.0,1.1064,0.9923,2.0987
573.0,1.1178,0.9876,2.1054
574.0,1.1271,0.9895,2.1166
575.0,1.0201,0.9961,2.0162
576.0,1.0966,0.9936,2.0902000000000003
577.0,1.1151,0.992,2.1071
578.0,1.0963,0.9991,2.0954
579.0,1.1174,0.9876,2.105
580.0,1.0613,0.9865,2.0478
581.0,1.1344,0.9903,2.1247
582.0,1.1292,0.994,2.1231999999999998
583.0,1.0938,0.997,2.0908
584.0,1.1091,0.9956,2.1047000000000002
585.0,1.0854,1.0111,2.0965
586.0,1.1216,0.9989,2.1205
587.0,1.1487,0.9993,2.148
588.0,1.1365,0.992,2.1285
589.0,1.0563,1.0123,2.0686
590.0,1.1084,0.9807,2.0891
591.0,1.0978,0.9991,2.0969
592.0,1.0622,0.9954,2.0576
593.0,1.1317,1.0067,2.1384
594.0,1.0598,1.001,2.0608
595.0,1.0776,1.0074,2.085
596.0,1.1351,1.0154,2.1505
597.0,1.1295,0.9929,2.1224
598.0,1.1164,1.0026,2.1189999999999998
599.0,1.1033,1.0103,2.1136
600.0,1.0896,1.0045,2.0941
601.0,1.0605,0.9971,2.0576
602.0,1.0528,0.9949,2.0477
603.0,1.1376,0.9949,2.1325
604.0,1.131,0.9874,2.1184000000000003
605.0,1.1374,1.003,2.1403999999999996
606.0,1.121,0.9954,2.1164
607.0,1.0754,0.9978,2.0732
608.0,1.0689,1.0028,2.0717
609.0,1.123,0.9988,2.1218
610.0,1.0949,0.9812,2.0761
611.0,1.1171,1.0115,2.1286
612.0,1.0988,1.005,2.1037999999999997
613.0,1.0775,1.0077,2.0852
614.0,1.0642,1.0046,2.0688
615.0,1.107,1.006,2.113
616.0,1.1091,1.0013,2.1104000000000003
617.0,1.0938,0.9999,2.0937
618.0,1.139,0.9999,2.1389
619.0,1.0732,0.9976,2.0708
620.0,1.1004,1.0053,2.1057
621.0,1.0543,1.0058,2.0601000000000003
622.0,1.1043,0.9836,2.0879000000000003
623.0,1.1027,1.0042,2.1069
624.0,1.0921,1.0061,2.0982000000000003
625.0,1.1122,1.0101,2.1223
626.0,1.092,0.9897,2.0817
627.0,1.1169,0.9884,2.1052999999999997
628.0,1.0395,0.9877,2.0272
629.0,1.153,1.0011,2.1541
630.0,1.1148,1.0063,2.1211
631.0,1.0797,0.9998,2.0795000000000003
632.0,1.0826,1.0002,2.0827999999999998
633.0,1.1095,1.0082,2.1177
634.0,1.0774,0.9983,2.0757
635.0,1.1515,0.9867,2.1382
636.0,1.0879,1.0014,2.0893
637.0,1.038,0.9904,2.0284
638.0,1.0697,1.0268,2.0965
639.0,1.0898,1.0005,2.0903
640.0,1.0701,0.9987,2.0688
641.0,1.1088,0.9913,2.1001
642.0,1.0644,1.0008,2.0652
643.0,1.1222,0.9831,2.1053
644.0,1.0738,0.9978,2.0716
645.0,1.1016,0.9976,2.0991999999999997
646.0,1.1156,0.9995,2.1151
647.0,1.1094,0.9848,2.0942
648.0,1.1313,0.9874,2.1187
649.0,1.114,1.001,2.115
650.0,1.0849,0.9995,2.0844
651.0,1.0804,0.9929,2.0733
652.0,1.1186,1.0157,2.1343
653.0,1.0945,1.0002,2.0947
654.0,1.0266,0.9982,2.0248
655.0,1.1183,1.0001,2.1184000000000003
656.0,1.1176,0.9892,2.1068
657.0,1.0838,1.0042,2.088
658.0,1.0665,0.9941,2.0606
659.0,1.0406,0.9949,2.0355
660.0,1.1327,1.0183,2.151
661.0,1.0585,0.9997,2.0582000000000003
662.0,1.1008,0.9995,2.1003
663.0,1.0837,0.9909,2.0746
664.0,1.0998,0.9987,2.0985
665.0,1.0872,1.0013,2.0885
666.0,1.0632,1.0069,2.0701
667.0,1.0348,1.0088,2.0435999999999996
668.0,1.1253,1.0079,2.1332
669.0,1.0754,1.01,2.0854
670.0,1.1475,1.0034,2.1509
671.0,1.1359,1.0091,2.145
672.0,1.2116,0.9933,2.2049
673.0,1.0751,0.9997,2.0747999999999998
674.0,1.1282,1.0021,2.1303
675.0,1.0673,1.003,2.0702999999999996
676.0,1.138,0.9998,2.1378
677.0,1.1109,1.0194,2.1303
678.0,1.086,0.998,2.084
679.0,1.1148,0.9817,2.0965
680.0,1.2796,0.9977,2.2773000000000003
681.0,1.0982,0.9999,2.0981
682.0,1.1127,1.0038,2.1165000000000003
683.0,1.0809,1.0032,2.0841000000000003
684.0,1.0958,1.0027,2.0985
685.0,1.1011,1.0085,2.1096
686.0,1.0763,0.9956,2.0719000000000003
687.0,1.0686,0.9969,2.0655
688.0,1.0895,0.9932,2.0827
689.0,1.1367,1.0004,2.1371
690.0,1.0716,1.0072,2.0788
691.0,1.0711,0.9967,2.0678
692.0,1.0641,0.9842,2.0483000000000002
693.0,1.1447,1.0092,2.1539
694.0,1.0701,1.0034,2.0735
695.0,1.0581,1.0074,2.0655
696.0,1.1022,0.9837,2.0859
697.0,1.0917,0.994,2.0857
698.0,1.0622,1.0095,2.0717
699.0,1.0941,0.992,2.0861
700.0,1.0667,0.994,2.0606999999999998
701.0,1.1031,0.9861,2.0892
702.0,1.1218,0.9883,2.1101
703.0,1.116,0.9962,2.1122
704.0,1.0867,0.9954,2.0821
705.0,1.1188,1.0089,2.1277
706.0,1.0831,1.0065,2.0896
707.0,1.0879,0.982,2.0699
708.0,1.1164,0.9875,2.1039000000000003
709.0,1.1119,0.992,2.1039000000000003
710.0,1.1253,0.9899,2.1151999999999997
